PriceChange,NetAssetChange,NetCashChange,Region
-0.121,0.1889,0.6113,1
-0.4007,0.1466,-0.8137,2
-0.1073,0.1997,0.0241,2
0.087,0.1742,-1.0141,2
-0.1024,0.1028,-0.9149,2
0.1518,0.1553,-0.5168,2
-0.23,0.0853,-1.1545,4
-0.3864,0.2461,3.8504,1
0.1296,0.1451,23.0668,2
-0.282,0.1712,-1.9894,2
-0.3392,0.1848,-2.4449,2
-0.2709,0.2073,-1.4189,2
0.1954,0.1423,-0.8104,2
-0.2476,0.1138,-1.679,1
-0.1825,0.1086,-0.9382,2
0.0227,0.2185,0.4816,2
-0.0963,0.2645,0.5823,2
-0.1725,0.2119,-0.4861,2
-0.1406,0.237,21.2117,2
0.0216,0.1898,1.4025,2
-0.0643,0.25,0.8648,2
-0.0869,0.2123,1.1935,2
-0.0022,0.3199,-27.3898,2
-0.2792,0.0313,0.7963,1
0.1704,0.0241,0.05,2
-0.3201,-0.0692,-1.7969,4
-0.0581,0.0848,-0.7011,1
-0.3249,0.1657,-0.75,2
-0.2924,0.074,-0.7792,3
1.1225,0.5196,-1.1451,2
-0.0574,0.2058,-0.0295,3
-0.1954,0.1423,-0.8104,2
0.2204,0.4966,-0.806,3
-0.1777,0.1647,-0.0149,4
-0.2468,0.2594,-1.3429,1
-0.1825,0.1086,-0.9382,2
-0.2697,0.1606,-0.6212,3
0.3428,0.3053,0.2958,2
0.0573,0.3844,-94.4642,1
-0.3177,0.1795,-2.9838,2
-0.3611,0.1216,-14.2115,2
-0.2136,0.188,-1.3759,2
-0.2159,0.4392,-0.8039,2
-0.0763,0.4906,-0.9628,2
-0.2263,0.0778,-1.8248,2
-0.3132,0.1844,-0.406,3
-0.2644,0.1332,-1.2165,2
-0.1861,0.3018,-2.9414,1
0.2314,0.1615,0.8446,2
0.2314,0.1615,-6.263,2
